ZONA,PREFECTURA,UNIDAD,MOTIVO
OESTE,CENTRAL,1RA. COM. SANTIAGO,FALSIFICACION O USO MALICIOSO DE DOCUMENTOS PRIVADOS ART. 197 Y 198
OESTE,CENTRAL,1RA. COM. SANTIAGO,ART 318 CPP
OESTE,CENTRAL,1RA. COM. SANTIAGO,ART 318 CPP
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY Nro 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY Nro 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRABANDO. INFRACCIÓN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,AMENAZAS A CARABINEROS (Art.417 Código de Justicia Militar)
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTADORES DE MARIHUANA
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY N 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY N 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRA LA SALUD PUBLICA
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRABANDO. INFRACCIN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRABANDO. INFRACCIN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,JUEGOS DE AZAR
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTAR ELEMENTOS CONOCIDAMENTE DESTINADOS A COMETER DELITO DE ROBO. ART.
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTAR ELEMENTOS CONOCIDAMENTE DESTINADOS A COMETER DELITO DE ROBO. ART.
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTAR ELEMENTOS CONOCIDAMENTE DESTINADOS A COMETER DELITO DE ROBO. ART.
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS CONTEMPLADOS EN LA LEY DE PROPIEDAD INTELECTUAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTRAS INFRACCIONES A LA ORDENANZA ADUANAS. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,ART 318 CPP
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY N 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS DE LA LEY N 20.000
OESTE,CENTRAL,1RA. COM. SANTIAGO,JUEGOS DE AZAR
OESTE,CENTRAL,1RA. COM. SANTIAGO,FALSIFICACIÓN LICENCIA DE CONDUCIR Y OTRAS FALSIFICACIONES
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,ART 318 CPP
OESTE,CENTRAL,1RA. COM. SANTIAGO,ART 318 CPP
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,PROPAGAR CONTAGIO A SABIENDAS ART. 318 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO POR SORPRESA. ART. 436 inc. 2
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTRAS INFRACCIONES A LA ORDENANZA ADUANAS. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,LESIONES LEVES
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO CON VIOLENCIA. ART.436 inc. 1 433 - 438 - 439.
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO CON VIOLENCIA. ART.436 inc. 1 433 - 438 - 439.
OESTE,CENTRAL,1RA. COM. SANTIAGO,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
OESTE,CENTRAL,1RA. COM. SANTIAGO,OTROS DELITOS CONTEMPLADOS EN LA LEY DE PROPIEDAD INTELECTUAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE ARMA BLANCA
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE ARMA BLANCA
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTADORES DE FARMACOS
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTADORES DE COCAINA
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTADORES DE COCAINA
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO CON VIOLENCIA. ART.436 inc. 1 433 - 438 - 439
OESTE,CENTRAL,1RA. COM. SANTIAGO,FEMICIDIO FRUSTRADO
OESTE,CENTRAL,1RA. COM. SANTIAGO,HURTO FALTA (494 BIS Cdigo Penal)
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO CON VIOLENCIA. ART.436 inc. 1 433 - 438 - 439
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO CON VIOLENCIA. ART.436 inc. 1 433 - 438 - 439
OESTE,CENTRAL,1RA. COM. SANTIAGO,OCULTACION DE IDENTIDAD EN CONTROL PREVENTIVO. ART. 496 NRO 5. ART. 12
OESTE,CENTRAL,1RA. COM. SANTIAGO,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
OESTE,CENTRAL,1RA. COM. SANTIAGO,JUEGOS DE AZAR
OESTE,CENTRAL,1RA. COM. SANTIAGO,CONTRABANDO. INFRACCIÓN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
OESTE,CENTRAL,1RA. COM. SANTIAGO,LESIONES LEVES
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,1RA. COM. SANTIAGO,OCULTACION DE IDENTIDAD EN CONTROL PREVENTIVO. ART. 496 NRO 5. ART. 12 LEY
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442
OESTE,CENTRAL,1RA. COM. SANTIAGO,ROBO EN LUGAR NO HABITADO. ART. 442.
OESTE,CENTRAL,1RA. COM. SANTIAGO,JUEGOS DE AZAR
OESTE,CENTRAL,1RA. COM. SANTIAGO,JUEGOS DE AZAR
OESTE,CENTRAL,1RA. COM. SANTIAGO,RECEPTACION. ART. 456 BIS A
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,PORTE DE ARMA BLANCA
OESTE,CENTRAL,2DA. COM. SANTIAGO,PORTE DE ARMA BLANCA
OESTE,CENTRAL,2DA. COM. SANTIAGO,PORTE DE ARMA BLANCA
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,LESIONES GRAVES
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,DESORDENES PÚBLICOS
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,RECEPTACIÓN
OESTE,CENTRAL,2DA. COM. SANTIAGO,RIÑA 
OESTE,CENTRAL,2DA. COM. SANTIAGO,RIÑA 
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,ROBO CON VIOLENCIA
OESTE,CENTRAL,2DA. COM. SANTIAGO,ROBO CON VIOLENCIA
OESTE,CENTRAL,2DA. COM. SANTIAGO,RECEPTACIÓN
OESTE,CENTRAL,2DA. COM. SANTIAGO,OBSTRUCCIÓN A LA INVESTIGACIÓN
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
OESTE,CENTRAL,2DA. COM. SANTIAGO,APREHENDIDO POR ORDEN JUDICIAL
