UNIDAD,ZONA,PREFECTURA,MOTIVO
1RA. COM. SANTIAGO,OESTE,CENTRAL,FALSIFICACION O USO MALICIOSO DE DOCUMENTOS PRIVADOS ART. 197 Y 198
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY Nro 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY Nro 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,CONTRABANDO. INFRACCIÓN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,CONTRA LA AUTORIDAD
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTADORES DE MARIHUANA
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY N 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY N 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
